syll,unicode
Dumuzids,
Dynasty,
E,
E2,
E2x,
E2xBAD,
EC,
EC2,
EDIN,
EJER,
ELS,
EN,
ENxKAR2,
ER,
EREN2,
ERIGAL,
ERIM,
ERIN2,
ERIN2KICIM5,
ESIR2,
EZEN,
EZENxKUG,
EZENxLAL2,
Ebih,
Edubba,
En,
Enki,
Enkidu,
Enkis,
Enlil,
Enmerkar,
Erra,
Eshtar,
F,
Fish,
Fragment,
G,
GA,
GA2,
GA2x,
GABA,
GAD,
GADA,
GADATAG4,
GADAxUR2TAG4,
GAG,
GAL,
GALTUR3,
GAM,
GAN,
GAN2,
GANA2,
GAR3,
GAZ,
GAZI,
GAmucen,
GI,
GI4,
GIBIL,
GIC,
GICGAL,
GID2,
GIG,
GIJ4,
GIL,
GIM,
GIN2,
GIN7,
GIR,
GIRku6,
GU,
GU2,
GU7,
GUB,
GUD,
GUG4,
GUL,
GUM,
GUN2,
GUR,
GUR4,
GUR5,
GZ,
Gilgamesh,
Grain,
Gudam,
H,
HA,
HAR,
HE2,
HI,
HISUHUR,
HISUHURku6,
HIku6,
HTML,
HU,
HUB,
HUB2,
HUL3,
HUM,
HUR,
Heaven,
Hoe,
Huwawa,
I,
I3,
IB,
IB2,
IB2ur3,
IC,
IG,
IGI,
III,
IL2,
ILku6,
IM,
IN,
IR,
IR3,
IRI,
IRIki,
IRIx,
ITI,
IZ,
Ibbi,
Iddin,
In,
Inana,
Inanas,
Instead,
Ishbi,
Ishme,
It,
Iumla,
J,
JA2,
JA2x,
JA2xGI,
JA2xMI,
JAB,
JAL2,
JAR,
JECTUG2,
JIC,
JICGAL,
JICNIMBAR,
JIR2,
JIR3,
JIR3x,
JIRI2,
JIRI3,
JISAL,
K,
KA,
KAAringKAR2,
KAB,
KAC,
KAC4,
KAD,
KAD4,
KAL,
KAM,
KAR,
KAR2,
KASKAL,
KAx,
KAxA,
KAxCU,
KAxGIR2,
KAxLI,
KAxLUM,
KAxMAC,
KAxNE,
KE4,
KEC2,
KEC2mucen,
KI,
KIB,
KICI4,
KICIM5xAB2,
KID,
KID2,
KID3,
KIDmucen,
KIJ2,
KIN,
KISIM5x,
KU,
KU4,
KU7,
KUC,
KUC2,
KUCCIR,
KUD,
KUG,
KUL,
KUM,
KUR,
KUR9,
Kesh,
Kic,
Kramers,
L,
L1N1,
L1Ni1,
LA,
LA2,
LAGAB,
LAGABx,
LAGABxA,
LAGABxU,
LAGABxULAGABxU,
LAGAR,
LAL2,
LAL3,
LAM,
LAMA,
LAki,
LI,
LIBIR,
LIL,
LIL2,
LU,
LU2,
LU2xKAR2,
LUGAL,
LUL,
LUM,
Lagash,
Lines,
Lipit,
Lisin,
Lugalbanda,
Luma,
M,
MA,
MAC,
MAH,
MAR,
ME,
MEC,
MEC3GA,
MES,
MI,
MI2,
MIN,
MIN3,
MIR,
MU,
MUC,
MUC3,
MUCEN,
MUCxMUC,
MUCxMUCNA,
MUD5,
MUNU4,
MUNUS,
MUR7,
MURUB2,
MURUB4ki,
MUjic,
Martu,
Me,
Mi,
Ms,
Mss,
N,
NA,
NA4,
NAB,
NAGA,
NAGAmucen,
NAJ,
NAJA,
NAM,
NANNA,
NAR,
NE,
NE2,
NEmucen,
NI,
NIJ2,
NIJIN,
NIJIN2,
NIM,
NIN,
NINDA2,
NIR,
NISABA,
NITA,
NITAH2,
NU,
NUMUN,
NUMUN2,
NUN,
NUNUZ,
Namma,
Nanna,
Nanshe,
Nergal,
Ni,
Nibru,
Ninazu,
Nininsina,
Ninlil,
Ninmah,
Ninurta,
Nippur,
Nisaba,
No,
Nungal,
O,
One,
P,
P2,
P2L2,
P3BT14,
P4Ha,
P5,
PA,
PA5,
PAD,
PAD3,
PAHARDIC,
PAP,
PAd,
PEC,
PEC5,
PI,
PIRIJ,
PU,
PU2,
PU3,
Period,
Plough,
Q,
R,
RA,
RE,
REC,
RI,
RIN,
RIN4,
RU,
RU2,
Reed,
Return,
Revision,
S,
SA,
SA4,
SAG9,
SAHAR,
SAJ,
SAL,
SALmucen,
SAM2,
SAR,
SGML,
SI,
SIG,
SIG11,
SIG17,
SIG2,
SIG3,
SIG4,
SIG7,
SIK,
SIKI,
SILA3,
SILA4,
SIMxPI,
SIPAD,
SIR3,
SU,
SU3,
SUD,
SUG,
SUG2,
SUH,
SUHUR,
SUHURku6,
SUL,
SUM,
SUR,
SUki,
Seg,
Segment,
Segments,
Several,
Sheep,
Shu,
Shulgi,
Shuruppag,
Some,
Su1,
Su2,
Su3Su4,
SuSu4,
Suen,
Suens,
Sumer,
Sumerian,
Summer,
Susa,
T,
TA,
TAB,
TAG,
TAG4,
TAR,
TCL,
TE,
TEC2,
TEGAR,
TI,
TIL,
TIR,
TL,
TU,
TUC,
TUG2,
TUK,
TUK4,
TUKU,
TUM,
TUN3,
TUR,
TURmucen,
The,
Third,
This,
Tree,
Turan,
U,
U2,
U2ku6,
U3,
U8,
UB,
UB2,
UB2LU,
UB2kuc,
UC,
UCmucen,
UD,
UDUG,
UET,
UG,
UGU,
UH,
UHME,
UL,
ULU3,
UM,
UN,
UNU,
UNUG,
UR,
UR2,
UR2xTAKA4,
UR3,
UR4,
UR5,
URTA,
URU,
URU3,
URU5,
URUD,
URUGAL,
URUxA,
URUxKAR2,
URUxUDri,
US2,
USAN,
UZ,
UZU,
Unplaceable,
Unug,
Ur,
Urim,
Utu,
V,
Version,
Vn,
W,
WB,
Winter,
Z,
ZA,
ZAG,
ZAL,
ZALAG,
ZAki,
ZE2,
ZI,
ZID,
ZID2,
ZIxZI,
ZU,
a,
a12,
a2,
ab,
ab2,
ab2cilam,
ab4ki,
abLUGAL,
aba,
aba4,
aba4ki,
aba5ki,
abaki,
abbreviated,
abgal,
abgal2,
abki,
about,
above,
abrig,
abrig2,
abrigki,
absin3,
abul,
abzu,
abzulaquoki,
abzux,
ac,
ac2,
ac3,
ac7,
acag,
acag5,
accidentally,
account,
acgab,
ackud,
ackud2,
acnan,
ad,
ad2,
ad5,
ad6,
adab,
adabbu,
adabki,
add,
adda,
addir,
addirxPA,
additional,
adds,
addu,
adjacent,
adxBAD,
adxLU2xGAM,
after,
ag,
ag2,
aga,
aga3,
agan,
agargara,
agargara2ku6,
agargaraku6,
agarin,
agarin3,
agarin4,
agarinxABxHA,
agki,
agrig,
agrun,
ah,
aiexcl,
aj,
aj2,
aj2raquo,
aj3,
ak,
akan2,
akana,
akcakki,
aki,
akkil,
akkilki,
akkilxGADA,
aktum,
al,
alad,
alad2,
alad3,
alaj,
alal,
alamuc,
alan,
algamec,
alim,
alki,
all,
always,
am,
am2,
am3,
ama,
ama5,
amac,
amalu,
amar,
ambar,
amn,
an,
ana,
anag2,
ance,
and,
anki,
another,
anzu2mucen,
anzud,
anzud2mucen,
anzudmucen,
ap,
apin,
aplusmn,
approx,
approximately,
aq,
ar,
ar2,
ar3,
ara3,
ara4,
arad,
arad2,
arah,
arah4,
aratta,
arattaki,
arattaxLAMxKUR,
are,
arhuc,
arhuc2,
arina,
as,
as2,
as4,
asal,
asal2,
asar,
asari,
asil,
asil3,
asil6,
asilal,
asilalEZENxLAL2,
asilalxEZEN,
aslag2,
assigned,
aszlig,
at,
auras,
az,
azlag,
azlag2,
azmucen,
b,
ba,
ba3,
ba4,
ba62,
ba9,
babbar,
babbar2,
babbarar,
bad,
bad3,
bad5,
bahar2,
baki,
bal,
bala,
balag,
balaj,
ban,
ban3,
bancur,
banda3,
bappir,
bappir2,
bar,
bar2,
bar6,
bar7,
bara3,
barag,
barag2,
barar,
barmucen,
based,
basis,
be,
be2,
be3,
be7,
before,
beginning,
belong,
belongs,
below,
between,
bi,
bi2,
bi2ku6,
bi2mucen,
bi3,
bibramucen,
bic,
bil,
bil2,
bil3,
bilingual,
biluda,
bimucen,
bir,
bir2,
bir3,
bir4ki,
bir5,
bir7,
bir9,
biraquo,
biz,
blank,
bu,
bu3,
bu4,
bu5,
bu7,
built,
buki,
bulug,
buluj3,
buluj5,
bumucen,
bun2,
bungu,
bunij,
bunij2LAGABxJAR,
bunijSUG,
bunijxA,
bur,
bur1,
bur12,
bur2,
bur2sar,
bur3,
bur3iku,
bur5,
buranun,
buranunki,
buranunxKIB,
buru14,
buru2,
buru3,
buru4,
buru4mucen,
buru5,
buru5mucen,
but,
buxPI,
by,
c,
ca,
ca13,
ca13JA2,
ca2,
ca3,
ca3ki,
ca4,
ca5,
cab,
cabra,
cag,
cag3,
cag4,
caga,
cagan,
cagaxLU2,
caggina,
cagin,
cagina,
cah,
cah2,
caj4,
caja,
cajan,
cajar,
cajaxLU2,
cak,
cakan,
cakan2,
cakar,
caki,
cakir,
cakir3,
cakkan,
cakkan2,
cam,
camac,
caman2,
cannot,
cap,
car,
car2,
car2ar,
car2iku,
car3,
cara,
cara2,
cara2mucen,
caragUD,
carrum,
carxNE,
case,
catalogue,
catam,
catch,
catchline,
cave,
ce,
ce10,
ce2,
ce21,
ce22,
ce3,
ce7,
ce8,
cec,
cec2,
cec4,
ced10,
ced12,
ced4,
ced7,
ced8,
ceg10,
ceg11,
ceg12,
ceg3,
ceg5,
ceg5mucen,
ceg6,
ceg7,
ceg9,
cegaradin,
cegbar,
cegxIM,
cegxKAxKID2,
cegxKAxLI,
cej,
cej3,
cej6,
cej7,
cejxIM,
cem,
cem3,
cem5,
cembi,
cembulug,
ceme,
cen,
cennu,
cennur,
cer11,
cer7,
ces,
cex,
cexA,
cexIGIxA,
cexSIG,
cexSIG7,
cezar,
ci,
ci2,
cibir,
cid,
cidim,
cig,
cig5,
cigxURUxGU,
cika,
ciki,
cikin2,
cilam,
cilam2,
cilamxTUR3,
cilig,
cilig5,
cim,
cimacki,
cimackiki,
cimbi,
cimna4,
cinig,
cir,
cir3,
cita,
cita2,
cita3,
cita3ta,
cita4,
cita5,
citim,
citim2,
closely,
colophon,
compendium,
composite,
composition,
compositions,
compromise,
conclude,
concludes,
confused,
constitute,
content,
continuation,
converting,
copy,
copya,
correction,
corrections,
could,
cu,
cu2,
cu4,
cub,
cub5,
cub6,
cuba,
cuba2,
cuba3,
cuba4,
cuba4ba,
cubaxMUC,
cubaxMUC3,
cubtuKASKAL,
cubtum,
cubtumKASKAL,
cubtumxKASKAL,
cubub,
cubur,
cuburki,
cuc,
cuc2,
cucin,
cud3,
cudug,
cudul4,
cudumxCID,
cudun,
cudun2,
cudun4,
cudxKA,
cuhuc,
cuki,
cuku,
cukur,
cukur2,
cul,
cum,
cum2,
cum2cu,
cum2mu,
cumun,
cumunda,
cur2,
curim,
curim3,
cursing,
curum,
curuppag,
curuppagki,
cutum,
cutur,
d,
da,
da1,
da10,
da13,
da2,
da3,
da3d,
dab,
dab2,
dab4,
dab5,
dab6,
dabin,
dadag,
dag,
dag2,
daggan,
dah,
dajal,
daki,
dal,
dala2,
dalhamun2,
dalhamunxAN,
dalla,
dalla2,
dam,
damaged,
damucen,
dan3,
danna,
dannada,
dannana,
dar,
dar3,
dara2,
dara3,
dara4,
daraquo,
darki,
darmucen,
data,
dating,
de,
de2,
de3,
de3ki,
de4,
de5,
de6,
debate,
dehi,
dehi2,
descent,
di,
di2,
di3,
di4,
dib,
dib2,
dic,
did,
dida,
didli,
different,
differently,
dig,
dih3,
dijir,
dil,
dili,
dili2,
diliNITAH,
dilib3,
dilmun,
dilmunki,
diluvian,
dim,
dim2,
dim3,
dim4,
dimgul,
dimma,
din,
dinmucen,
dinsar,
dinxEDIN,
diri,
dirig,
divergent,
do,
does,
dream,
du,
du10,
du11,
du12,
du14,
du17,
du2,
du24,
du3,
du3mucen,
du5,
du6,
du7,
du8,
du9,
dub,
dub2,
dub3,
dubur,
dug,
dug10,
dug3,
dug4,
dug41,
dugud,
dugudmucen,
duh,
dul,
dul10,
dul2,
dul3,
dul4,
dul5,
dul7,
dul9,
dulu,
dum,
dumu,
dumumu,
dun,
dun3,
dun4,
dun5,
dungu,
dur,
dur10,
dur2,
dur2du,
dur3,
dur3ur2,
dur3ur3,
dur5,
dur7,
dur7BU,
dur9,
durmucen,
duru5,
durun,
durunxKU,
dusu,
dusu2,
duxLU2xANE,
dynasties,
dynasty,
e,
e11,
e2,
e3,
e5,
each,
earlier,
eb,
eb2,
ebih2,
ebihki,
ebki,
ec,
ec15,
ec2,
ec3,
ec3ma,
ec4,
ec5,
ec8,
ec8ki,
eca,
ecaA,
ece2,
ece3,
ece3iku,
ece4,
ecemen,
ecemen2,
ecgiri,
ecki,
ectub,
ectubku6,
ecxLAM,
ed,
ed2,
ed2UD,
ed2e,
ed3,
eden,
edge,
edimxEDIN,
edin,
eg,
eg2,
eg3,
egi,
egi2,
egir2,
egir3,
eh3,
ehehhe,
ehi,
eiexcl,
ej,
ej3,
ejer,
ejir,
ek,
el,
elaborate,
elam,
elamki,
ellag,
else,
em,
em3,
eme,
eme2UMME,
eme3,
eme5,
emeda,
emedu2,
emxA,
en,
en3,
en3en,
en6,
en8,
end,
ends,
enegir3ki,
enegirki,
engar,
engiz,
engur,
enkara,
enku,
enkud,
enkum,
enmen,
enmen2,
enraquo,
enre,
ensi,
ensi2,
ensi3,
epir,
er,
er2,
er3,
er9,
erased,
erasure,
erec,
erec2ki,
erec5,
erecki,
eren,
eren2,
eri,
eri11,
eridug,
eridugki,
eriduki,
erim,
erim2,
erim3,
erim6,
erin,
erin2,
erin3,
erroneous,
erroneously,
es2,
es3,
esi,
esir,
esir2,
et,
ethe,
ethe6,
everywhere,
existed,
exploits,
extremely,
ez,
ezem,
ezen,
ezina2,
f,
farmers,
final,
fish,
five,
following,
follows,
for,
form,
four,
fourth,
fragment,
fragmentary,
fragments,
from,
further,
g,
ga,
ga14,
ga14KA,
ga2,
ga3,
ga6,
ga6ga,
gab,
gab2,
gab3,
gaba,
gacam,
gada,
gag,
gaki,
gakkul,
gakkul3,
gakkul3U,
gal,
gal2,
gal4,
gal5,
gala,
galam,
galku6,
galmucen,
galraquo,
gam,
gam3,
gam3mucen,
gam4,
gambix,
gammucen,
gamucen,
gan,
gan2,
gana,
gana2,
ganam4,
ganan,
ganba,
ganki,
ganzer,
ganzer3,
ganzerxKUR,
gap,
gar,
gar2,
gar3,
gar5,
gar6NUN,
gar8,
gara2,
gara9,
garac2,
garac3sar,
garacsar,
garadin,
garadinCE,
garaquo,
gaz,
gazi,
gazka,
ge,
ge18,
ge2,
ge26,
ge3,
ge4,
ge5,
ge8,
gecpu2,
gectug2,
gectugtug2,
gel,
geme2,
gen,
gen6,
gen7,
gestin,
gi,
gi16,
gi17,
gi2,
gi4,
gi4mucen,
gi4sar,
gi5,
gi6,
gi7,
gi8,
gib,
gibib,
gibil,
gibil2,
gibil6,
gic,
gid2,
gid2ku6,
gid2mucen,
gidim,
gidu,
gig,
gig2,
gigir,
gigir2,
gigri2,
gij4,
giki,
gil,
gilgamec,
gilgamec2,
gilgamec3,
gilgamecxBIL4,
gilim,
gim,
gin,
gin2,
gin3,
gin6,
gin7,
gir,
gir11,
gir15,
gir16,
gir2,
gir3,
gir4,
gir5,
gira,
girabaAB,
giri11,
giri16,
giri17,
giri17ki,
giri3,
giric,
girid,
girid2,
girim3,
girin,
girku6,
gisal,
give,
gives,
gloss,
glosses,
god,
gu,
gu10,
gu2,
gu3,
gu4,
gu5,
gu7,
gu7mucen,
gu8,
gub,
gub2,
gub3,
gubalag,
gubalagxEZEN,
gublaga,
gud,
gud3,
gud4,
gudu2,
gudu4,
gug,
gug2,
gug4,
gukkal,
gul,
gul2,
gum,
gum2,
gum3,
gun,
gun2,
gun3,
gun3gu2,
gun3mucen,
gun4,
gun4ki,
gun5,
gun5ki,
gunu3,
gur,
gur10,
gur11,
gur11ku6,
gur12,
gur2,
gur21,
gur21E,
gur21ur3,
gur3,
gur4,
gur4ku6,
gur4mucen,
gur5,
gur6,
gur7,
gur8,
gurinxDUGin,
guru20,
guru21,
guru21E,
guru21ur3,
guru3,
guru5,
guru7,
guruc,
guruc3,
gurucda,
guructa,
gurud,
gurum,
gurum2,
gurun,
gurun6,
gurun7,
gurur3,
gurx,
guz,
ha,
ha6,
hab,
hab2,
habrud,
habrudmucen,
hac,
hac2,
hac4,
hachur,
had2,
haki,
hal,
halba2,
har,
harub,
has,
hasar,
have,
he,
he2,
hec5,
henbur,
henbur2,
hendur,
henzer,
here,
heron,
hi,
hir,
hirin,
hirinhu,
his,
hisar,
history,
hoe,
home,
however,
hu,
hub,
hub2,
huc,
huc2,
hud,
huhul,
huj,
hul,
hul2,
huluh,
hum,
hun,
hur,
huz,
hymn,
hymns,
i,
i2,
i3,
i5,
ia,
ia3,
ia3mucen,
ia4NA4,
ib,
ib2,
ibila,
ibmucen,
ic,
ici,
icib,
icin,
ickila,
ickilala,
ickur,
ictaran,
id,
id2,
id4,
identifies,
idigna,
idim,
ieth,
iexcla,
iexcla2,
iexcle,
iexcle4,
iexcli,
iexcli3,
iexclic,
iexclu2,
iexclup,
if,
ig,
igi,
igigi,
igiru,
igirumucen,
ih,
iiexcl,
ij3,
ik,
iku,
il,
il2,
il3,
il5,
ilar,
ildag2,
ildag3,
ildu2,
ildum2,
illar,
illat,
illegible,
im,
im2,
im4,
imaga3,
imgaga,
imgaga3,
imin,
imma,
imma3,
immen,
imraquo,
in,
in4,
inana,
inanana,
inbir,
incantation,
incipit,
incipits,
inda,
indagara,
indentation,
indented,
inim,
inime,
inimi,
inki,
inmucen,
inscribed,
insead,
inserted,
insertion,
inserts,
instead,
instructions,
intead,
into,
invertedAN,
ip,
ip2,
iq,
iqueste4,
iquestu2,
ir,
ir2,
ir3,
ir7,
ir9,
iri,
iri11,
iri12,
irigal,
irigalABxGAL,
iriki,
is,
is3,
isic,
isim2sar,
isimu2,
isimu2sar,
isimu3sar,
isimud,
isimudxPAB,
isin,
isin2,
isin2si,
istaran,
it,
iti,
iti6,
iti7,
itim,
itima,
itimam,
itimama,
its,
iv,
ix,
iz,
izi,
izsar,
ja2,
jal,
jal2,
jal4,
jalga,
janun,
jar,
jar3,
jar8,
jarza,
jarza2,
je26,
je6,
jec,
jec2,
jecpu,
jecpu2,
jectin,
jectin2,
jectu2,
jectug,
jectug2,
jectug3,
jen,
jespu2,
jestin,
jestug,
jestug2,
jestug3,
ji25,
ji6,
jic,
jic2,
jic3,
jicbun,
jicbunxKI,
jicgal,
jicimmar,
jickim,
jicnimbar,
jicnimbarki,
jidri,
jidru,
jig2,
jir2,
jir2ki,
jir3,
jiri16,
jiri2,
jiri2ku6,
jiri3,
jisal,
jissu,
jizzal,
jizzal2,
jizzalxJIC,
journey,
ju,
ju1,
ju10,
jucurxJIC,
juruc,
ka,
ka2,
ka3,
ka5,
ka9,
kab,
kab2,
kac,
kac3,
kac4,
kac4ku6,
kacbir,
kacdida,
kackurun,
kackurun2,
kackurun7,
kaculucin3,
kad4,
kad5,
kadra,
kadra2,
kakalam,
kal,
kalag,
kalam,
kale,
kalki,
kam,
kam2,
kam3,
kan,
kan2,
kan5,
kana6,
kankal,
kar,
kar2,
kara2,
karadin,
karkaraki,
kas4,
kas7,
kaskal,
kaz,
ke,
ke2,
ke3,
ke4,
ke4ga,
kec2,
kec3ki,
kecki,
ki,
ki2,
kibir2,
kic,
kic3ki,
kici,
kici16,
kici4,
kici6,
kici8,
kicib,
kicib3,
kicig,
kicki,
kid,
kid2,
kid7,
kig2,
kij,
kij2,
kij2ku6,
kikkin,
kilib,
kilib2,
kilib3,
kilim,
kim3,
kin,
kin2,
kinda,
kindagal,
kindagal2,
kindajal,
king,
kingal,
kinkin,
kinkinHAR,
kir,
kir11,
kir3,
kir4,
kiri3,
kiri4,
kiri6,
kiri8,
kirid,
kirugu,
kisal,
kisiga,
kisigaki,
kislah,
known,
ku,
ku10,
ku19,
ku2,
ku3,
ku4,
ku5,
ku6,
ku7,
kuaraki,
kub,
kuc,
kuc2,
kuc3,
kuc7,
kuc8,
kucu,
kucu2,
kucu2ku6,
kucu4,
kucum,
kucxSAHAR,
kud,
kug,
kugki,
kukku2,
kukku5,
kul,
kul2,
kulla,
kum,
kum2,
kum3,
kumucen,
kun,
kun4,
kun5,
kunga,
kunna4,
kur,
kur2,
kur4,
kur6,
kur7,
kur9,
kurku2,
kurum2,
kurum6,
kurum7,
kurun,
kurun2,
kurun3,
kurxDU,
kuxDU,
l,
la,
la2,
la2ku6,
la2mucen,
la2sar,
lag,
lagab,
lagabla,
lagacCIR,
lagacki,
lagal,
lagar,
lagarxSAL,
lah,
lah4,
lah5,
lah6,
lahtan,
lal,
lal2,
lal3,
lam,
lam2,
lama,
lament,
lamxLUM,
laquoANraquo,
laquoBIraquo,
laquoCE3raquo,
laquoDUraquo,
laquoENraquo,
laquoGUraquo,
laquoIBraquo,
laquoKIraquo,
laquoMUraquo,
laquoNIraquo,
laquoRIraquo,
laquoUD,
laquoUDraquo,
laquoUNraquo,
laquoaraquo,
laquobarraquo,
laquocaggina,
laquoce3,
laquod,
laquodaraquo,
laquodicraquo,
laquoenraquo,
laquogiraquo,
laquoigiraquo,
laquojic,
laquojicraquo,
laquoju10raquo,
laquoke4raquo,
laquokur,
laquomaraquo,
laquome,
laquomeraquo,
laquomi2raquo,
laquomiraquo,
laquomu,
laquomucenraquo,
laquomuraquo,
laquonamraquo,
laquonij2,
laquoniraquo,
laquonu,
laquonuraquo,
laquora,
laquoraraquo,
laquoruraquo,
laquosa2raquo,
laquosag9,
laquosaraquo,
laquosarraquo,
laquou6raquo,
laquoudraquo,
laquounraquo,
laquozi,
laquozuraquo,
larsaki,
later,
le,
le2,
least,
left,
lem4,
less,
li,
li2,
li9,
lib,
lib4,
libir,
ligidba,
ligidbaCIM,
ligima,
lijic,
lik,
likely,
liki,
lil,
lil2,
lilib,
lillan,
lim,
limmu,
limmu2,
line,
lines,
lipic,
lirum,
lirum3,
lirum4,
lisar,
list,
listed,
ll,
lord,
lu,
lu2,
lu3,
lu5,
lu7,
lub,
lug,
lugal,
lugud,
lugud2,
luh,
luki,
lukur,
lul,
lulim,
lum,
lumsar,
lumucen,
lunga,
lunga3,
m,
ma,
ma2,
ma3,
ma5,
ma6,
ma8,
mac,
mac2,
mac2ku6,
mac3,
macki,
mackim,
macku6,
mah,
maki,
man,
mar,
mar2,
mar6,
marad,
marduk,
marked,
marku6,
marriage,
mas,
match,
may,
me,
me2,
me3,
me8,
mec,
mec3,
men,
mer,
mes,
mezej,
mi,
mi2,
mi2ecgar,
might,
miki,
mil,
min,
min2,
min3,
minor,
mir,
missing,
mitum,
mitum2,
mitumTUKUL,
more,
mountain,
ms,
mss,
mu,
mu2,
mu4,
mu6,
mu7,
muc,
muc2,
muc3,
muc5,
mucen,
mucku6,
muctug2,
mud,
mud2,
mud5,
mudru,
mug,
muhaldim,
mul,
mun,
mun4,
munmucen,
munsub,
munsubxPA,
munu3,
munu4,
munu4PAP,
munu4mu,
munus,
munzer,
mur,
mur10,
mur5ku6,
murgu,
murgu2,
murgu3,
muru3,
muru5,
muru9,
murub2,
murub4,
murub5,
murum5,
mussa,
must,
musur,
n,
na,
na2,
na4,
na4gug,
na8,
naba,
nad2,
nad3,
naga,
nagar,
nagga,
naj,
naja,
naja3,
naja4,
naki,
nalaquo,
nam,
nam2,
namcub,
namma,
nance,
nanibgal,
nanibgal2,
nanna,
nar,
naraquo,
narrative,
nasar,
ne,
ne2,
ne2mucen,
ne3,
nemur,
nergal,
nergalNE3,
nesaj,
nether,
ni,
ni127,
ni2,
ni3,
ni5,
nibru,
nibruki,
nida,
nidba,
nidba2,
nig2,
niga,
nigin2,
nigin3,
nij,
nij2,
nijin,
nijin2,
nijin3,
nijin5,
nijin6ki,
nijir,
nim,
nimbar,
nin,
nin9,
ninda,
ninda2,
nindan,
nini2,
ninim,
ninkum,
ninna2,
ninna2mucen,
ninni2,
ninnu,
ninxEGI2,
nir,
nir2,
nir3,
nir7,
nirah,
niraquo,
nisaba,
nisaba2,
nisaj,
nisaj2,
nisig,
niskuPIRIJ,
nita,
nita2,
nitah,
nitah2,
nitalam,
nitalam2,
nitalam3,
no,
not,
nu,
nu1,
nu10,
nu11,
nu11mucen,
nu2,
nu6,
num,
num2,
number,
numbering,
numbers,
numerical,
numun,
numun2,
nun,
nundum,
nundun,
nunus,
nunuz,
nus,
nuska,
nuxLU,
obverse,
occur,
of,
omit,
omits,
omitted,
on,
one,
only,
or,
order,
origin,
original,
other,
over,
p,
pa,
pa12,
pa3,
pa4,
pa5,
pa9,
pad,
pad3,
pag,
pah,
pala,
pala3,
palil,
pan,
pap,
par2,
par3,
par4,
para24,
para3ki,
parallel,
part,
passage,
pat,
pattern,
paxPAD,
pe,
pe2,
pec,
pec10,
pec11,
pec2,
pec3,
pec4,
pec5,
pec6,
pecxCAG4,
pel,
pel2,
perhaps,
physical,
pi,
pi2,
pi4,
pil,
pir,
pirij,
pirij3,
pisaj,
pisan,
pisan3,
place,
placed,
places,
plusmna,
poem,
point,
possible,
possibly,
post,
praise,
precede,
preceded,
precedes,
preceding,
preserve,
preserved,
preserves,
probable,
probably,
proofreading,
provenance,
pu,
pu2,
pu3,
pu6,
puzur2,
puzur4,
qa,
qa2,
qal,
qar,
qe2,
qi,
qi2,
qi4,
qu,
qu2,
qu3,
qum,
qumki,
qur,
ra,
ra2,
ra2ra,
raa,
rab,
rab3,
rabLUGAL,
rabxLUGAL,
rac,
racsar,
raki,
ramucen,
raquo,
raquocitim,
raquoen,
raquokiri6,
rasar,
re,
re2,
re6,
re7,
re7re,
re8,
read,
refer,
refers,
related,
relates,
remainder,
remucen,
repetitions,
repetitive,
replacing,
represent,
respectively,
restoration,
return,
reverse,
reverses,
rewritten,
rex,
ri,
ri2,
ri2ki,
ri5,
ri8,
ri9,
rib,
rig2,
rig5,
rig7,
riki,
rim4,
rin,
rin2,
rinri,
ru,
ru1,
ru10,
ru12,
ru2,
ru3,
