Sign,Unicode,Transliteration,Keystrokes
𒂦,U+120A6,EZEN x BAD,ezen.bad
𒂧,U+120A7,EZEN x DUN3 gunû,ezen.dun3
𒂨,U+120A8,EZEN x DUN3 gunû gunû,ezen.dun3
𒍷,U+12377,EZEN x GUD,ezen.gud
𒂪,U+120AA,EZEN x ḪA gunû,ezen.ha
𒂩,U+120A9,EZEN x ḪA,ezen.ha
𒂫,U+120AB,EZEN x IGI gunû,ezen.igi
𒂬,U+120AC,EZEN x KASKAL,ezen.kaskal
𒂭,U+120AD,EZEN x KASKAL squared,ezen.kaskal
𒂮,U+120AE,EZEN x KU3,ezen.ku3
𒂯,U+120AF,EZEN x LA,ezen.la
𒂰,U+120B0,EZEN x LAL x LAL,ezen.lal.lal
𒂱,U+120B1,EZEN x LI,ezen.li
𒂲,U+120B2,EZEN x LU,ezen.lu
𒍸,U+12378,EZEN x ŠE,ezen.she
𒂳,U+120B3,EZEN x U2,ezen.u2
𒂴,U+120B4,EZEN x UD,ezen.ud
𒂵,U+120B5,GA,ga
𒂶,U+120B6,GA gunû,ga
𒂷,U+120B7,GA2,ga2
𒂸,U+120B8,GA2 x A + DA + ḪA,ga2.a.da.ha
𒂹,U+120B9,GA2 x A + ḪA,ga2.a.ha
𒂺,U+120BA,GA2 x A + IGI,ga2.a.igi
𒂻,U+120BB,GA2 x AB2 tenû + TAB,ga2.ab2.tab
𒂼,U+120BC,GA2 x AN,ga2.an
𒍹,U+12379,GA2 x AN + KAK + A,ga2.an.kak.a
𒂽,U+120BD,GA2 x AŠ,ga2.ash
𒍺,U+1237A,GA2 x AŠ2,ga2.ash2
𒂾,U+120BE,GA2 x AŠ2 + GAL,ga2.ash2.gal
𒂿,U+120BF,GA2 x BAD,ga2.bad
𒃀,U+120C0,GA2 x BAR + RA,ga2.bar.ra
𒃁,U+120C1,GA2 x BUR,ga2.bur
𒃂,U+120C2,GA2 x BUR + RA,ga2.bur.ra
𒃃,U+120C3,GA2 x DA,ga2.da
𒃄,U+120C4,GA2 x DI,ga2.di
𒃅,U+120C5,GA2 x DIM x ŠE,ga2.dim.she
𒃆,U+120C6,GA2 x DUB,ga2.dub
𒃇,U+120C7,GA2 x EL,ga2.el
𒃈,U+120C8,GA2 x EL + LA,ga2.el.la
𒃉,U+120C9,GA2 x EN,ga2.en
